days,fips,tot_cases,tot_death,new_death,actual cases,predicted cases
218,45,95472,1894,47,1282,1361.324
211,47,100822,1020,21,1778,2501.265
76,28,12,0,0,2,2.928
129,47,14512,241,4,346,317.527
143,13,39387,1808,50,1031,588.825
191,13,107333,2930,8,2838,2686.263
117,12,30680,1074,19,684,717.171
264,1,144962,2437,0,798,803.697
71,51,15,0,0,7,3.116
252,13,297429,6070,26,1744,1550.94
321,28,135803,3581,36,905,1464.027
261,12,666507,13086,147,3273,2813.729
173,51,58465,1620,9,471,528.444
212,47,102871,1033,13,2049,2572.136
289,37,238939,3874,18,2532,2074.099
226,13,234964,4538,82,2816,3686.265
86,12,2352,29,6,491,370.637
163,13,54011,2375,46,1101,447.481
181,47,42297,592,8,2125,1189.089
295,21,90996,1363,21,1452,1285.925
128,47,14166,237,-2,228,254.483
270,13,330612,6914,40,1442,1641.65
234,47,140844,1549,61,1669,1347.266
87,13,2367,65,5,524,345.306
257,12,656485,12608,8,2395,1919.655
279,1,159713,2559,1,544,891.885
197,37,91563,1568,16,1816,1944.669
240,13,272456,5393,82,2819,2670.022
83,37,297,0,0,42,74.058
316,28,130665,3514,17,1271,1306.902
221,21,34758,772,8,962,604.478
249,51,126926,2678,1,1199,697.161
162,21,11883,484,7,175,303.897
253,13,299621,6128,58,2192,2023.861
149,37,25413,827,33,784,957.927
311,28,125885,3433,14,1031,909.188
166,21,12445,499,0,0,26.942
157,51,49397,1460,7,865,839.779
107,47,6262,141,7,426,170.606
216,51,94251,2244,26,1145,975.479
301,12,776215,16505,56,4226,4034.494
286,28,105941,3115,14,1009,949.395
309,47,269802,3478,24,3445,2521.942
148,28,14372,692,21,328,386.868
285,45,157406,3552,1,785,799.428
206,1,76136,1439,40,1792,1603.222
284,45,156621,3551,21,945,919.96
319,28,134309,3543,3,969,1263.33
202,12,355899,5072,90,10287,10999.477
320,37,312235,4806,50,3117,3531.305
324,28,140429,3642,23,1638,1561.777
184,28,28770,1092,0,0,203.22
250,45,124952,2887,10,663,837.535
248,28,85939,2558,22,823,776.487
68,45,6,0,0,4,1.989
164,45,17170,593,5,729,602.269
146,13,41622,1830,3,532,667.206
155,21,10410,450,8,225,297.143
97,37,2870,33,2,285,209.076
199,47,73819,815,19,2279,2175.158
78,37,62,0,0,22,15.125
84,1,242,0,0,46,85.403
121,28,7212,282,32,643,346.553
152,37,28590,886,9,916,723.481
237,37,158678,2535,4,1389,1432.845
212,13,186426,3671,29,4183,4454.587
105,12,20984,571,72,590,1033.895
161,51,52177,1514,18,439,618.409
318,12,858585,17445,73,6760,4999.406
247,51,124779,2662,10,1111,1049.749
230,1,109004,1925,27,571,1130.632
98,37,3221,46,13,351,246.533
123,28,7441,291,10,229,190.054
120,28,6569,250,0,0,9.93
121,47,10735,199,7,603,345.462
135,13,33657,1527,22,326,670.87
330,51,228901,4029,21,2600,2342.285
91,1,999,13,7,52,148.178
302,1,187706,2911,19,1269,1352.129
273,1,153554,2517,16,571,1112.058
282,47,209447,2705,63,1992,1753.07
88,21,394,9,1,92,49.207
202,45,71445,1164,9,1459,1679.56
104,28,3087,111,13,145,226.122
287,28,106817,3140,25,876,975.055
193,21,19121,622,2,451,364.553
289,13,358533,7492,22,1864,1500.119
233,13,254163,4904,55,2939,2703.386
120,1,7105,260,17,158,299.876
172,45,23786,644,5,1155,889.612
238,12,599176,10580,183,2665,5324.632
96,12,11961,221,26,788,1136.673
282,45,154755,3514,12,1050,892.346
104,13,13289,481,34,1086,959.397
267,1,147153,2488,31,569,1162.143
248,1,130393,2266,33,1108,1101.631
239,37,161466,2606,36,1342,1681.831
327,45,206295,4283,9,1277,1597.052
315,21,124646,1590,14,2079,1915.694
248,51,125727,2677,15,948,1020.087
90,1,947,6,2,117,139.567
126,28,8422,374,32,215,373.731
231,21,40299,830,12,608,624.78
273,28,98190,2969,48,1141,1135.349
185,12,175718,3684,67,9415,6997.471
184,51,63735,1816,30,532,654.259
171,21,13454,522,2,257,189.185
218,1,94819,1698,30,972,1492.828
169,47,32143,497,4,313,752.623
131,45,7653,331,1,122,190.094
314,13,406904,8223,29,1648,2600.57
234,37,154018,2494,29,2075,1747.216
265,28,94021,2846,36,465,803.852
333,37,357958,5219,9,3444,2788.603
218,12,497181,7627,225,5408,6046.868
237,13,264540,5156,24,2441,1987.48
88,45,660,15,2,121,89.622
148,45,10623,466,20,207,461.903
182,45,36399,739,19,1755,1295.846
327,1,232506,3457,0,1798,1777.041
289,28,109255,3160,8,1116,902.37
139,21,7935,346,12,247,187.912
242,21,47577,921,3,820,388.009
163,37,39483,1064,11,1310,1115.871
282,51,156649,3344,16,1114,1136.452
100,12,16323,371,48,1089,1072.434
237,51,114636,2495,24,1006,926.167
170,45,21548,621,4,992,623.201
332,1,242874,3572,0,917,1884.993
100,13,10693,413,42,613,1030.754
103,1,3583,61,1,321,220.807
140,28,11967,570,15,263,366.498
197,13,129193,3091,37,4102,3848.092
