days,fips,tot_cases,tot_death,new_death,retail_and_recreation_%change,grocery_and_pharmacy_%change,parks_%change,transit_stations_%change,workplaces_%change,residential_%change,actual cases,predicted cases,%error,%accuracy,predicted rounded,rounded %error,rounded %accuracy
93,21,770,31,11,-33,-3,42,-30,-46,17,90,94.268,4.742222222,95.25777778,94,4.444444444,95.55555556
147,47,21089,344,5,-7,4,54,-17,-32,10,358,384.276,7.339664804,92.6603352,384,7.262569832,92.73743017
130,1,9923,394,8,-15,20,39,-3,-18,5,284,232.722,18.0556338,81.9443662,233,17.95774648,82.04225352
140,21,8069,366,20,-20,4,30,-19,-37,13,134,320.978,139.5358209,-39.5358209,321,139.5522388,-39.55223881
222,12,527036,8186,77,-25,-16,-18,-43,-22,6,6190,6069.33,1.949434572,98.05056543,6069,1.954765751,98.04523425
181,45,34644,720,4,-1,4,61,1,-29,8,1324,815.181,38.43043807,61.56956193,815,38.44410876,61.55589124
168,28,20641,939,24,6,10,57,3,-25,6,489,607.166,24.16482618,75.83517382,607,24.13087935,75.86912065
135,51,28672,977,22,-29,-6,40,-42,-46,18,859,1027.546,19.62118743,80.37881257,1028,19.67403958,80.32596042
319,13,422905,8956,51,-12,-6,41,-25,-9,3,3035,3870.318,27.52283361,72.47716639,3870,27.51235585,72.48764415
222,47,122712,1223,8,-7,3,94,-6,-16,2,2127,1625.783,23.564504,76.435496,1626,23.55430183,76.44569817
106,1,4241,75,2,-19,-2,10,-24,-40,15,288,157.935,45.16145833,54.83854167,158,45.13888889,54.86111111
126,1,8679,323,23,-12,9,16,-14,-33,12,367,276.008,24.79346049,75.20653951,276,24.79564033,75.20435967
313,28,127205,3443,0,-10,-7,10,6,-16,2,516,611.758,18.55775194,81.44224806,612,18.60465116,81.39534884
257,21,56945,1060,3,-14,-1,85,1,-13,1,530,565.095,6.621698113,93.37830189,565,6.603773585,93.39622642
205,45,76606,1334,49,-6,1,43,-2,-31,9,1564,1695.122,8.383759591,91.61624041,1695,8.375959079,91.62404092
163,21,11945,493,9,-4,11,113,-7,-32,8,62,243.354,292.5064516,-192.5064516,243,291.9354839,-191.9354839
246,12,626426,11501,127,-23,-16,-21,-41,-34,9,2310,3454.489,49.54497835,50.45502165,3454,49.52380952,50.47619048
195,13,121518,3026,25,-10,-1,48,-34,-38,10,3790,3411.712,9.98121372,90.01878628,3412,9.973614776,90.02638522
97,47,3803,65,21,-35,-9,3,-35,-43,16,170,310.998,82.94,17.06,311,82.94117647,17.05882353
161,45,15228,568,11,0,7,59,5,-28,8,428,403.404,5.746728972,94.25327103,403,5.841121495,94.1588785
84,37,398,0,0,-31,-4,-8,-38,-34,15,101,86.994,13.86732673,86.13267327,87,13.86138614,86.13861386
314,47,287770,3610,15,-10,-5,33,-14,-23,7,5919,2995.561,49.39075857,50.60924143,2996,49.38334178,50.61665822
205,1,74344,1399,36,-8,2,31,1,-30,9,2458,1786.75,27.30878763,72.69121237,1787,27.29861676,72.70138324
301,51,176754,3616,16,-15,-4,50,-32,-34,10,1345,1201.995,10.63234201,89.36765799,1202,10.63197026,89.36802974
265,45,138124,3212,13,-7,-3,44,-6,-25,5,416,845.008,103.1269231,-3.126923077,845,103.125,-3.125
280,51,153691,3303,12,-13,-2,67,-34,-35,9,509,1007.97,98.02946955,1.970530452,1008,98.03536346,1.964636542
77,21,26,0,0,-19,17,33,-6,-19,8,4,11.786,194.65,-94.65,12,200,-100
92,45,1293,26,4,-30,-3,-26,-26,-40,15,210,174.161,17.06619048,82.93380952,174,17.14285714,82.85714286
