days,fips,tot_cases,tot_death,new_death,retail_and_recreation_%change,grocery_and_pharmacy_%change,parks_%change,transit_stations_%change,workplaces_%change,residential_%change,actual cases,predicted cases
270,47,190891,2374,22,-9,1,111,-8,-6,0,1437,1586.312
156,45,13005,525,7,-2,7,38,2,-28,9,354,349.63
206,28,51097,1480,17,-12,-7,18,-1,-30,9,1434,1198.063
133,37,15346,577,27,-20,1,42,-31,-38,14,301,583.288
114,12,28843,987,60,-43,-21,-47,-55,-47,20,1052,952.333
87,1,639,3,2,-30,-2,30,-24,-37,16,108,96.019
320,47,310937,3893,16,-10,-2,16,-14,-15,3,5817,3681.149
246,13,285667,5795,62,-11,-6,35,-31,-34,8,2386,2491.744
114,1,6071,198,11,-35,-13,-31,-33,-42,20,240,237.726
148,37,24629,794,28,-20,-6,-2,-32,-35,14,488,845.981
86,21,248,5,0,-33,-6,84,-27,-41,15,50,74.142
128,45,7142,316,11,-15,4,10,-15,-35,13,206,147.342
286,12,726934,15412,48,-22,-15,-24,-36,-33,8,1519,2277.817
289,12,735685,15736,141,-22,-13,-21,-34,-29,8,3286,3359.863
192,37,81534,1479,18,-12,0,85,-21,-34,9,2007,1887.666
283,13,350033,7348,54,-14,-8,27,-27,-31,8,2011,1867.924
208,21,27079,700,4,-11,2,136,2,-15,2,315,682.744
74,28,6,0,0,3,21,41,10,0,-1,5,1.223
170,21,13197,520,2,-6,9,93,-8,-32,8,202,220.56
174,37,53616,1223,3,-10,1,79,-23,-35,9,805,1284.345
102,12,18445,446,27,-49,-20,-54,-65,-40,15,997,927.683
236,12,594287,10325,51,-25,-16,-28,-44,-22,6,3004,2935.117
230,28,73207,2128,44,-7,-3,17,0,-27,5,1071,1005.561
107,21,2429,129,7,-28,-4,29,-31,-45,17,138,144.396
132,45,7792,346,15,-13,1,24,-14,-33,11,139,265.876
69,45,7,0,0,9,8,53,7,2,-1,1,1.808
245,21,49185,948,15,-6,6,77,-6,-29,6,789,836.81
190,12,220476,3953,112,-22,-12,-14,-39,-36,12,9882,8871.464
236,13,262099,5132,40,-17,-7,33,-32,-19,4,1812,2482.581
95,51,2407,52,6,-45,-14,4,-51,-34,14,395,313.657
96,1,1841,31,5,-50,-18,-1,-40,-36,12,208,239.999
194,21,19389,625,3,-10,3,122,1,-14,2,268,474.888
95,1,1633,26,5,-41,8,4,-33,-26,11,98,216.102
293,51,167754,3485,28,-14,-5,41,-32,-33,10,926,1133.337
205,37,107432,1726,28,-13,-2,44,-25,-35,11,1945,1935.869
85,21,198,5,1,-33,-5,69,-23,-40,15,35,59.872
265,1,145780,2439,2,-9,-4,28,-5,-26,5,818,776.947
263,45,137240,3188,11,-8,1,67,-2,-11,1,922,871.984
171,1,29017,823,13,-6,5,72,4,-29,6,803,728.894
98,21,1149,65,6,-33,-3,55,-28,-47,16,141,140.514
218,47,114098,1144,27,-3,5,101,-10,-32,7,1657,1804.087
240,12,605342,10868,135,-25,-16,-23,-41,-34,10,3229,3126.334
179,12,130092,3390,24,-26,-10,-13,-40,-17,6,9518,7358.035
274,21,68840,1174,4,-9,2,68,-5,-27,5,984,660.531
314,37,294860,4615,8,-14,-3,27,-28,-28,7,1521,2121.472
198,12,311640,4677,156,-22,-10,-15,-41,-37,12,13764,10504.8
311,47,273144,3541,32,-12,-7,38,-14,-23,6,1373,2703.394
298,37,258292,4144,30,-12,-1,100,-16,-10,1,2584,2419.346
255,1,136703,2333,32,-11,-6,38,-7,-26,4,1138,1168.297
220,21,33796,764,4,-9,4,159,-4,-32,7,542,554.286
127,13,28998,1327,69,-18,-2,17,-40,-42,15,802,664.154
