days,fips,new_case,tot_death,parks_%change,actual cases,predicted cases
330,12,8126,18254,-20,946956,956995.185
222,1,981,1768,49,101334,99681.39
180,1,1245,924,58,36350,35334.209
101,47,228,98,-5,4863,4370.957
153,12,651,2460,-24,55415,54831.459
274,28,696,2979,20,98886,102428.197
214,51,981,2218,93,91782,91601.633
74,1,0,0,55,1,13.772
102,51,568,130,17,5077,5169.88
149,1,467,594,31,16729,15892.798
154,21,139,442,95,10185,10535.096
257,47,933,2078,49,171824,167822.473
125,51,0,684,39,19492,19897.798
242,12,3132,11105,-22,612206,613331.784
248,47,1051,1837,83,160597,157661.487
302,21,1857,1442,31,101494,100430.948
246,21,806,966,64,49991,51000.71
103,13,157,447,-57,12203,13234.178
267,28,737,2874,0,95310,101478.055
320,13,2084,8957,13,424989,426518.146
321,51,2125,3835,13,206763,214103.373
122,13,935,1167,45,26176,29739.371
160,51,487,1496,70,51738,51179.935
288,37,1926,3856,49,236407,232401.313
92,13,570,154,-5,4806,5644.08
262,45,872,3177,23,136318,139506.946
226,37,1978,2287,41,142636,137585.004
178,21,242,553,141,14859,14957.112
206,21,784,691,135,25931,26505.642
95,13,422,208,-18,6353,6000.66
164,28,865,889,50,19348,25316.773
188,51,638,1881,75,66740,67337.208
238,21,669,895,80,44568,45094.553
228,37,1662,2343,41,145508,142167.789
113,28,437,201,-5,5153,5698.518
260,13,2669,6419,-8,313535,321185.957
248,13,2298,5931,56,290938,292211.763
122,12,1038,1314,-27,34728,35103.586
300,13,1346,7827,25,377553,377312.327
139,45,126,391,15,8942,8391.828
64,12,0,0,14,2,2.225
284,21,989,1249,111,79445,79668.434
195,37,1846,1510,77,87756,84326.492
300,51,1134,3600,24,175409,173156.376
134,13,558,1505,32,33331,34313.758
324,37,4296,4936,2,325158,331848.329
191,12,8891,4009,-12,229367,220863.163
192,21,425,620,127,18670,19363.178
297,47,3606,3076,64,241513,248595.603
213,13,4308,3752,63,190734,195395.951
221,45,1241,2007,80,99460,103514.335
190,1,1170,1057,40,46991,45890.896
121,1,201,280,15,7306,6818.225
103,12,892,461,-63,19337,16004.557
293,1,859,2789,18,173485,169647.778
155,45,236,518,49,12651,12558.228
87,37,128,3,38,764,677.338
249,37,1586,2889,121,178932,174489.283
250,37,1099,2890,105,180031,165491.084
235,51,0,2443,88,112072,112249.005
223,21,272,775,65,35254,35157.836
218,45,1282,1894,34,95472,95326.665
211,47,1778,1020,87,100822,97905.471
76,28,2,0,24,12,27.498
129,47,346,241,-21,14512,14067.297
143,13,1031,1808,51,39387,41048.741
191,13,2838,2930,21,107333,103118.285
117,12,684,1074,-52,30680,30055.486
264,1,798,2437,46,144962,147117.522
71,51,7,0,40,15,17.882
252,13,1744,6070,28,297429,295867.005
321,28,905,3581,-1,135803,138548.085
261,12,3273,13086,-24,666507,666259.869
173,51,471,1620,104,58465,58222.185
212,47,2049,1033,62,102871,101846.755
289,37,2532,3874,52,238939,238328.636
226,13,2816,4538,17,234964,245448.875
86,12,491,29,-34,2352,1769.497
163,13,1101,2375,44,54011,53813.331
181,47,2125,592,65,42297,39770.988
295,21,1452,1363,75,90996,91167.575
128,47,228,237,35,14166,13717.397
270,13,1442,6914,58,330612,330667.007
234,47,1669,1549,47,140844,136726.29
87,13,524,65,33,2367,2771.546
257,12,2395,12608,-42,656485,655125.113
279,1,544,2559,21,159713,151831.677
197,37,1816,1568,64,91563,87998.271
240,13,2819,5393,20,272456,273181.683
83,37,42,0,-17,297,282.709
316,28,1271,3514,6,130665,140231.619
221,21,962,772,236,34758,36033.021
249,51,1199,2678,144,126926,127643.31
162,21,175,484,81,11883,11754.277
253,13,2192,6128,37,299621,300313.276
149,37,784,827,21,25413,23432.416
311,28,1031,3433,0,125885,136466.674
166,21,0,499,141,12445,12550.263
157,51,865,1460,50,49397,48385.153
107,47,426,141,1,6262,6023.817
216,51,1145,2244,27,94251,94709.42
301,12,4226,16505,-23,776215,774647.498
286,28,1009,3115,18,105941,111392.59
309,47,3445,3478,35,269802,270556.859
148,28,328,692,22,14372,15709.712
285,45,785,3552,3,157406,160355.664
206,1,1792,1439,37,76136,75595.386
284,45,945,3551,31,156621,158954.821
319,28,969,3543,23,134309,134216.97
202,12,10287,5072,-20,355899,342694.395
320,37,3117,4806,13,312235,311226.307
324,28,1638,3642,2,140429,158656.998
184,28,0,1092,41,28770,30036.33
250,45,663,2887,96,124952,128594.96
248,28,823,2558,30,85939,90226.223
68,45,4,0,38,6,6.982
164,45,729,593,44,17170,17403.185
146,13,532,1830,67,41622,41663.367
155,21,225,450,98,10410,10726.864
97,37,285,33,22,2870,2222.369
199,47,2279,815,89,73819,71031.442
78,37,22,0,28,62,74.966
84,1,46,0,4,242,330.997
121,28,643,282,15,7212,7676.84
152,37,916,886,75,28590,27767.441
237,37,1389,2535,48,158678,153939.256
212,13,4183,3671,18,186426,184065.357
105,12,590,571,-52,20984,16940.522
161,51,439,1514,85,52177,52269.101
318,12,6760,17445,-24,858585,864721.559
247,51,1111,2662,59,124779,124062.633
230,1,571,1925,30,109004,106433.395
98,37,351,46,24,3221,2647.338
123,28,229,291,28,7441,7183.72
120,28,0,250,-7,6569,5751.353
121,47,603,199,0,10735,10381.73
135,13,326,1527,21,33657,34831.226
330,51,2600,4029,25,228901,227659.622
91,1,52,13,-23,999,763.818
302,1,1269,2911,-15,187706,186882.815
273,1,571,2517,9,153554,150768.061
282,47,1992,2705,69,209447,208425.001
88,21,92,9,100,394,609.439
202,45,1459,1164,47,71445,67277.707
104,28,145,111,-14,3087,3063.561
287,28,876,3140,27,106817,112760.616
193,21,451,622,211,19121,19699.804
289,13,1864,7492,22,358533,356829.244
233,13,2939,4904,-2,254163,262467.938
120,1,158,260,-11,7105,6012.977
172,45,1155,644,104,23786,24678.291
238,12,2665,10580,-26,599176,597918.503
96,12,788,221,-70,11961,9597.14
282,45,1050,3514,36,154755,159502.198
104,13,1086,481,-6,13289,14575.202
267,1,569,2488,14,147153,147360.839
248,1,1108,2266,40,130393,130414.695
239,37,1342,2606,50,161466,154875.845
327,45,1277,4283,6,206295,207560.393
315,21,2079,1590,37,124646,123968.864
248,51,948,2677,85,125727,123990.444
90,1,117,6,10,947,915.906
126,28,215,374,15,8422,8527.636
231,21,608,830,65,40299,40417.984
273,28,1141,2969,24,98190,118556.416
185,12,9415,3684,-6,175718,181442.266
184,51,532,1816,112,63735,64270.011
171,21,257,522,147,13454,13450.06
218,1,972,1698,51,94819,91624.364
169,47,313,497,98,32143,30368.051
131,45,122,331,26,7653,7415.589
314,13,1648,8223,12,406904,403757.393
234,37,2075,2494,46,154018,151966.683
265,28,465,2846,20,94021,95728.009
333,37,3444,5219,41,357958,353117.103
218,12,5408,7627,-21,497181,488829.162
237,13,2441,5156,7,264540,268048.559
88,45,121,15,12,660,818.534
148,45,207,466,-4,10623,10692.759
182,45,1755,739,48,36399,36994.287
327,1,1798,3457,15,232506,215882.774
289,28,1116,3160,16,109255,121595.924
139,21,247,346,3,7935,8423.125
242,21,820,921,135,47577,46897.39
163,37,1310,1064,46,39483,37731.236
282,51,1114,3344,62,156649,158654.082
100,12,1089,371,-46,16323,14184.405
237,51,1006,2495,56,114636,113316.079
170,45,992,621,63,21548,22533.502
332,1,917,3572,12,242874,170485.965
100,13,613,413,-10,10693,10637.497
103,1,321,61,-50,3583,3611.753
140,28,263,570,34,11967,12993.19
197,13,4102,3091,38,129193,128646.803
