days,fips,new_case,new_death,retail_and_recreation_%change,grocery_and_pharmacy_%change,parks_%change,transit_stations_%change,workplaces_%change,residential_%change,actual cases,predicted cases
171,1,803,13,-6,5,72,4,-29,6,823,767.048
98,21,141,6,-33,-3,55,-28,-47,16,65,61.082
218,47,1657,27,-3,5,101,-10,-32,7,1144,1124.49
240,12,3229,135,-25,-16,-23,-41,-34,10,10868,10743.644
179,12,9518,24,-26,-10,-13,-40,-17,6,3390,3963.489
274,21,984,4,-9,2,68,-5,-27,5,1174,1176.739
314,37,1521,8,-14,-3,27,-28,-28,7,4615,4335.932
198,12,13764,156,-22,-10,-15,-41,-37,12,4677,4743.073
311,47,1373,32,-12,-7,38,-14,-23,6,3541,3682.828
298,37,2584,30,-12,-1,100,-16,-10,1,4144,4122.725
255,1,1138,32,-11,-6,38,-7,-26,4,2333,2304.533
220,21,542,4,-9,4,159,-4,-32,7,764,761.548
127,13,802,69,-18,-2,17,-40,-42,15,1327,1343.832
121,13,537,57,-23,-4,-15,-44,-45,18,1111,1156.229
276,47,971,14,-7,-1,62,-10,-24,4,2515,2581.894
99,13,1130,20,-39,-14,-6,-49,-52,20,371,262.478
318,1,2980,18,-12,-6,11,-11,-21,6,3231,3341.878
328,47,4074,35,-5,2,18,-14,-28,8,4301,3805.226
239,47,1936,20,-8,0,69,-16,-28,7,1648,1723.577
82,37,71,0,-39,-10,-7,-42,-29,9,0,3.918
240,28,599,14,-14,-10,8,-6,-24,8,2413,2382.055
248,21,792,11,-8,6,133,3,-33,6,987,989.856
163,51,564,14,-17,-1,50,-35,-40,14,1534,1528.521
243,12,2547,14,-27,-19,-34,-46,-23,6,11119,11221.809
197,1,1805,45,-3,3,42,1,-31,8,1211,1204.191
151,47,484,5,-9,8,133,-5,-5,1,366,443.891
289,45,1297,14,-8,-3,25,-2,-24,6,3607,3574.951
304,28,824,6,-10,-6,0,8,-25,2,3334,3343.794
83,1,39,0,-33,-6,-11,-22,-33,14,0,4.397
100,1,339,0,-35,-4,5,-31,-43,18,48,86.897
129,28,288,13,-20,-3,-12,-19,-34,15,422,376.563
173,13,885,1,-14,0,50,-35,-18,2,2643,2403.53
191,28,1031,11,-2,3,38,3,-29,8,1215,1126.009
128,37,639,30,-22,2,29,-37,-40,15,507,599.41
135,21,145,2,-18,7,90,-17,-39,12,328,333.393
236,21,463,9,-11,2,123,1,-12,1,881,979.051
254,37,1307,32,-14,-3,49,-25,-33,7,2990,2851.417
295,51,1332,9,-12,-3,56,-31,-34,10,3524,3547.935
138,45,155,5,-12,4,51,-4,-23,5,385,422.612
220,51,1307,5,-14,-2,76,-31,-39,11,2322,2253.328
