days,fips,new_case,new_death,retail_and_recreation_%change,grocery_and_pharmacy_%change,parks_%change,transit_stations_%change,workplaces_%change,residential_%change,actual cases,predicted cases,%error,%accuracy,predicted rounded,rounded %error,rounded %accuracy
97,47,170,21,-35,-9,3,-35,-43,16,65,86.555,33.16153846,66.83846154,87,33.84615385,66.15384615
161,45,428,11,0,7,59,5,-28,8,568,565.85,0.378521127,99.62147887,566,0.352112676,99.64788732
314,47,5919,15,-10,-5,33,-14,-23,7,3610,3886.637,7.663074792,92.33692521,3887,7.673130194,92.32686981
205,1,2458,36,-8,2,31,1,-30,9,1399,1466.343,4.813652609,95.18634739,1466,4.789135096,95.2108649
301,51,1345,16,-15,-4,50,-32,-34,10,3616,3627.37,0.314435841,99.68556416,3627,0.30420354,99.69579646
265,45,416,13,-7,-3,44,-6,-25,5,3212,3214.035,0.063356164,99.93664384,3214,0.062266501,99.9377335
280,51,509,12,-13,-2,67,-34,-35,9,3303,3309.953,0.210505601,99.7894944,3310,0.21192855,99.78807145
92,45,210,4,-30,-3,-26,-26,-40,15,26,24.805,4.596153846,95.40384615,25,3.846153846,96.15384615
334,28,1485,1,-23,-20,-34,14,-24,7,3807,6310.266,65.75429472,34.24570528,6310,65.74730759,34.25269241
76,12,6,1,-6,14,0,-16,-18,6,5,2.512,49.76,50.24,3,40,60
206,45,2001,51,-11,-2,37,-1,-31,9,1385,1395.105,0.729602888,99.27039711,1395,0.722021661,99.27797834
219,45,1325,49,-8,-2,34,-4,-31,9,1943,1931.74,0.579516212,99.42048379,1932,0.566134843,99.43386516
169,28,0,-1,8,9,55,8,-26,6,938,911.305,2.845948827,97.15405117,911,2.878464819,97.12153518
105,45,114,10,-29,-6,-11,-27,-41,15,97,109.921,13.32061856,86.67938144,110,13.40206186,86.59793814
305,1,1789,35,-11,6,47,-6,-9,-1,2967,2937.324,1.000202224,98.99979778,2937,1.011122346,98.98887765
133,12,941,44,-30,-12,-24,-45,-39,15,1779,1665.179,6.398032603,93.6019674,1665,6.408094435,93.59190556
329,12,8102,72,-11,1,-21,-28,-34,8,18157,17662.335,2.724376274,97.27562373,17662,2.726221292,97.27377871
304,21,1937,15,-9,3,45,-6,-26,6,1476,1479.953,0.267818428,99.73218157,1480,0.27100271,99.72899729
108,28,0,0,-27,-9,-6,-29,-39,16,140,132.878,5.087142857,94.91285714,133,5,95
72,13,33,1,8,24,23,-2,-1,0,1,2.154,115.4,-15.4,2,100,0
228,21,632,6,-10,8,183,4,-11,1,810,833.859,2.945555556,97.05444444,834,2.962962963,97.03703704
332,37,8008,72,-23,-15,51,-40,-60,16,5210,5378.644,3.236928983,96.76307102,5379,3.243761996,96.756238
289,21,1182,20,-12,1,41,-3,-27,7,1296,1290.167,0.45007716,99.54992284,1290,0.462962963,99.53703704
296,45,1128,47,-8,-4,29,-3,-23,6,3755,3719.583,0.943195739,99.05680426,3720,0.932090546,99.06790945
251,45,655,20,-8,-2,90,-8,-66,15,2907,2831.083,2.611523908,97.38847609,2831,2.614379085,97.38562092
273,13,1368,33,-16,-7,-21,-35,-31,10,6994,9182.642,31.29313697,68.70686303,9183,31.29825565,68.70174435
240,45,505,55,-9,-3,31,-5,-28,7,2628,2541.29,3.299467275,96.70053272,2541,3.310502283,96.68949772
316,13,2232,-397,-12,-8,-15,-33,-34,11,8333,8891.909,6.707176287,93.29282371,8892,6.708268331,93.29173167
214,47,2225,7,-6,7,108,1,-10,2,1067,1133.295,6.21321462,93.78678538,1133,6.18556701,93.81443299
297,1,3852,16,-11,-6,20,-8,-22,5,2859,3174.929,11.05033228,88.94966772,3175,11.05281567,88.94718433
185,47,1822,13,1,19,157,-11,-55,11,633,738.478,16.66319115,83.33680885,738,16.58767773,83.41232227
116,28,284,12,-26,-2,3,-25,-25,9,221,217.257,1.693665158,98.30633484,217,1.809954751,98.19004525
126,51,764,29,-28,-6,5,-45,-47,19,713,683.352,4.158204769,95.84179523,683,4.207573633,95.79242637
93,13,637,22,-29,11,-15,-46,-47,19,176,133.365,24.22443182,75.77556818,133,24.43181818,75.56818182
268,47,835,35,-12,-6,14,-16,-25,8,2310,2554.284,10.57506494,89.42493506,2554,10.56277056,89.43722944
142,1,347,10,-5,9,40,-4,-30,10,534,533.185,0.152621723,99.84737828,533,0.187265918,99.81273408
270,47,1437,22,-9,1,111,-8,-6,0,2374,2458.002,3.538416175,96.46158382,2458,3.538331929,96.46166807
156,45,354,7,-2,7,38,2,-28,9,525,555.294,5.770285714,94.22971429,555,5.714285714,94.28571429
206,28,1434,17,-12,-7,18,-1,-30,9,1480,1441.894,2.57472973,97.42527027,1442,2.567567568,97.43243243
133,37,301,27,-20,1,42,-31,-38,14,577,550.851,4.531889081,95.46811092,551,4.506065858,95.49393414
114,12,1052,60,-43,-21,-47,-55,-47,20,987,892.194,9.605471125,90.39452888,892,9.625126646,90.37487335
87,1,108,2,-30,-2,30,-24,-37,16,3,7.176,139.2,-39.2,7,133.3333333,-33.33333333
320,47,5817,16,-10,-2,16,-14,-15,3,3893,4076.751,4.720035962,95.27996404,4077,4.726432058,95.27356794
246,13,2386,62,-11,-6,35,-31,-34,8,5795,5656.84,2.384124245,97.61587575,5657,2.381363244,97.61863676
114,1,240,11,-35,-13,-31,-33,-42,20,198,307.441,55.27323232,44.72676768,307,55.05050505,44.94949495
148,37,488,28,-20,-6,-2,-32,-35,14,794,1052.863,32.60239295,67.39760705,1053,32.61964736,67.38035264
86,21,50,0,-33,-6,84,-27,-41,15,5,5.414,8.28,91.72,5,0,100
128,45,206,11,-15,4,10,-15,-35,13,316,311.972,1.274683544,98.72531646,312,1.265822785,98.73417722
286,12,1519,48,-22,-15,-24,-36,-33,8,15412,13506.536,12.36350895,87.63649105,13507,12.36049831,87.63950169
289,12,3286,141,-22,-13,-21,-34,-29,8,15736,15211.777,3.33136121,96.66863879,15212,3.329944077,96.67005592
192,37,2007,18,-12,0,85,-21,-34,9,1479,1513.813,2.353820149,97.64617985,1514,2.366463827,97.63353617
283,13,2011,54,-14,-8,27,-27,-31,8,7348,7366.999,0.258560152,99.74143985,7367,0.258573762,99.74142624
208,21,315,4,-11,2,136,2,-15,2,700,798.433,14.06185714,85.93814286,798,14,86
170,21,202,2,-6,9,93,-8,-32,8,520,527.601,1.461730769,98.53826923,528,1.538461538,98.46153846
174,37,805,3,-10,1,79,-23,-35,9,1223,1204.611,1.503597711,98.49640229,1205,1.471790679,98.52820932
102,12,997,27,-49,-20,-54,-65,-40,15,446,369.646,17.11973094,82.88026906,370,17.04035874,82.95964126
236,12,3004,51,-25,-16,-28,-44,-22,6,10325,10134.833,1.841811138,98.15818886,10135,1.840193705,98.1598063
230,28,1071,44,-7,-3,17,0,-27,5,2128,2132.368,0.205263158,99.79473684,2132,0.187969925,99.81203008
107,21,138,7,-28,-4,29,-31,-45,17,129,123.513,4.253488372,95.74651163,124,3.875968992,96.12403101
132,45,139,15,-13,1,24,-14,-33,11,346,343.959,0.589884393,99.41011561,344,0.578034682,99.42196532
245,21,789,15,-6,6,77,-6,-29,6,948,959.432,1.205907173,98.79409283,959,1.160337553,98.83966245
190,12,9882,112,-22,-12,-14,-39,-36,12,3953,4805.091,21.55555274,78.44444726,4805,21.5532507,78.4467493
236,13,1812,40,-17,-7,33,-32,-19,4,5132,4391.057,14.4377046,85.5622954,4391,14.43881528,85.56118472
95,51,395,6,-45,-14,4,-51,-34,14,52,41.671,19.86346154,80.13653846,42,19.23076923,80.76923077
96,1,208,5,-50,-18,-1,-40,-36,12,31,65.765,112.1451613,-12.14516129,66,112.9032258,-12.90322581
194,21,268,3,-10,3,122,1,-14,2,625,677.962,8.47392,91.52608,678,8.48,91.52
95,1,98,5,-41,8,4,-33,-26,11,26,36.628,40.87692308,59.12307692,37,42.30769231,57.69230769
293,51,926,28,-14,-5,41,-32,-33,10,3485,3499.607,0.419139168,99.58086083,3500,0.430416069,99.56958393
205,37,1945,28,-13,-2,44,-25,-35,11,1726,1866.602,8.146118192,91.85388181,1867,8.169177289,91.83082271
85,21,35,1,-33,-5,69,-23,-40,15,5,5.49,9.8,90.2,5,0,100
265,1,818,2,-9,-4,28,-5,-26,5,2439,2447.457,0.346740467,99.65325953,2447,0.32800328,99.67199672
263,45,922,11,-8,1,67,-2,-11,1,3188,3189.828,0.057340025,99.94265997,3190,0.062735257,99.93726474
171,1,803,13,-6,5,72,4,-29,6,823,767.048,6.79854192,93.20145808,767,6.804374241,93.19562576
98,21,141,6,-33,-3,55,-28,-47,16,65,61.082,6.027692308,93.97230769,61,6.153846154,93.84615385
218,47,1657,27,-3,5,101,-10,-32,7,1144,1124.49,1.70541958,98.29458042,1124,1.748251748,98.25174825
240,12,3229,135,-25,-16,-23,-41,-34,10,10868,10743.644,1.144239971,98.85576003,10744,1.140964299,98.8590357
179,12,9518,24,-26,-10,-13,-40,-17,6,3390,3963.489,16.91707965,83.08292035,3963,16.90265487,83.09734513
274,21,984,4,-9,2,68,-5,-27,5,1174,1176.739,0.23330494,99.76669506,1177,0.255536627,99.74446337
314,37,1521,8,-14,-3,27,-28,-28,7,4615,4335.932,6.046977248,93.95302275,4336,6.045503792,93.95449621
198,12,13764,156,-22,-10,-15,-41,-37,12,4677,4743.073,1.41272183,98.58727817,4743,1.411161001,98.588839
311,47,1373,32,-12,-7,38,-14,-23,6,3541,3682.828,4.005309235,95.99469077,3683,4.01016662,95.98983338
298,37,2584,30,-12,-1,100,-16,-10,1,4144,4122.725,0.513392857,99.48660714,4123,0.506756757,99.49324324
255,1,1138,32,-11,-6,38,-7,-26,4,2333,2304.533,1.220188598,98.7798114,2305,1.200171453,98.79982855
220,21,542,4,-9,4,159,-4,-32,7,764,761.548,0.320942408,99.67905759,762,0.261780105,99.7382199
127,13,802,69,-18,-2,17,-40,-42,15,1327,1343.832,1.268425019,98.73157498,1344,1.281085154,98.71891485
121,13,537,57,-23,-4,-15,-44,-45,18,1111,1156.229,4.071017102,95.9289829,1156,4.050405041,95.94959496
276,47,971,14,-7,-1,62,-10,-24,4,2515,2581.894,2.659801193,97.34019881,2582,2.664015905,97.3359841
99,13,1130,20,-39,-14,-6,-49,-52,20,371,262.478,29.25121294,70.74878706,262,29.38005391,70.61994609
318,1,2980,18,-12,-6,11,-11,-21,6,3231,3341.878,3.431692974,96.56830703,3342,3.435468895,96.5645311
328,47,4074,35,-5,2,18,-14,-28,8,4301,3805.226,11.52694722,88.47305278,3805,11.53220181,88.46779819
239,47,1936,20,-8,0,69,-16,-28,7,1648,1723.577,4.58598301,95.41401699,1724,4.611650485,95.38834951
240,28,599,14,-14,-10,8,-6,-24,8,2413,2382.055,1.282428512,98.71757149,2382,1.284707833,98.71529217
248,21,792,11,-8,6,133,3,-33,6,987,989.856,0.289361702,99.7106383,990,0.303951368,99.69604863
163,51,564,14,-17,-1,50,-35,-40,14,1534,1528.521,0.357170795,99.6428292,1529,0.325945241,99.67405476
243,12,2547,14,-27,-19,-34,-46,-23,6,11119,11221.809,0.924624517,99.07537548,11222,0.926342297,99.0736577
197,1,1805,45,-3,3,42,1,-31,8,1211,1204.191,0.562262593,99.43773741,1204,0.578034682,99.42196532
151,47,484,5,-9,8,133,-5,-5,1,366,443.891,21.28169399,78.71830601,444,21.31147541,78.68852459
289,45,1297,14,-8,-3,25,-2,-24,6,3607,3574.951,0.888522318,99.11147768,3575,0.887163848,99.11283615
304,28,824,6,-10,-6,0,8,-25,2,3334,3343.794,0.293761248,99.70623875,3344,0.299940012,99.70005999
100,1,339,0,-35,-4,5,-31,-43,18,48,86.897,81.03541667,18.96458333,87,81.25,18.75
129,28,288,13,-20,-3,-12,-19,-34,15,422,376.563,10.76706161,89.23293839,377,10.66350711,89.33649289
173,13,885,1,-14,0,50,-35,-18,2,2643,2403.53,9.060537268,90.93946273,2404,9.042754446,90.95724555
191,28,1031,11,-2,3,38,3,-29,8,1215,1126.009,7.32436214,92.67563786,1126,7.325102881,92.67489712
128,37,639,30,-22,2,29,-37,-40,15,507,599.41,18.22682446,81.77317554,599,18.14595661,81.85404339
135,21,145,2,-18,7,90,-17,-39,12,328,333.393,1.644207317,98.35579268,333,1.524390244,98.47560976
236,21,463,9,-11,2,123,1,-12,1,881,979.051,11.12951192,88.87048808,979,11.12372304,88.87627696
254,37,1307,32,-14,-3,49,-25,-33,7,2990,2851.417,4.634882943,95.36511706,2851,4.648829431,95.35117057
295,51,1332,9,-12,-3,56,-31,-34,10,3524,3547.935,0.679199773,99.32080023,3548,0.681044268,99.31895573
138,45,155,5,-12,4,51,-4,-23,5,385,422.612,9.769350649,90.23064935,423,9.87012987,90.12987013
220,51,1307,5,-14,-2,76,-31,-39,11,2322,2253.328,2.957450474,97.04254953,2253,2.971576227,97.02842377
284,47,1646,26,-17,-6,29,-8,-11,4,2758,2926.538,6.110877447,93.88912255,2927,6.127628716,93.87237128
317,12,5504,72,-24,-17,-40,-41,-34,12,17372,17150.69,1.273946581,98.72605342,17151,1.2721621,98.7278379
131,47,217,1,-12,14,50,-20,-23,3,243,287.848,18.45596708,81.54403292,288,18.51851852,81.48148148
187,47,1291,9,-14,-4,79,-8,-21,3,646,869.098,34.53529412,65.46470588,869,34.52012384,65.47987616
161,12,1070,53,-20,-10,-20,-41,-32,12,2765,2588.312,6.390162749,93.60983725,2588,6.401446655,93.59855335
157,21,272,8,-10,9,105,-10,-33,10,466,469.88,0.832618026,99.16738197,470,0.858369099,99.1416309
94,13,488,22,-37,0,4,-50,-48,20,198,119.253,39.77121212,60.22878788,119,39.8989899,60.1010101
309,28,1612,8,-7,-5,5,7,-17,4,3405,3427.563,0.662643172,99.33735683,3428,0.675477239,99.32452276
235,1,900,15,-13,0,53,2,-9,3,2011,2005.766,0.260268523,99.73973148,2006,0.248632521,99.75136748
244,45,668,11,-8,-3,26,-9,-27,6,2720,2674.915,1.657536765,98.34246324,2675,1.654411765,98.34558824
173,21,120,2,-11,7,89,-4,-13,1,526,553.517,5.231368821,94.76863118,554,5.323193916,94.67680608
149,21,107,9,-8,10,74,-12,-34,10,409,433.228,5.923716381,94.07628362,433,5.86797066,94.13202934
308,47,1770,75,-3,4,44,-15,-27,7,3454,3548.435,2.734076433,97.26592357,3548,2.721482339,97.27851766
291,37,2102,19,-10,-1,97,-13,-11,1,3929,3575.179,9.005370323,90.99462968,3575,9.00992619,90.99007381
306,13,1435,2,-12,-7,24,-28,-16,3,7981,8039.875,0.737689513,99.26231049,8040,0.739255732,99.26074427
111,45,62,4,-30,-11,-25,-33,-40,16,124,148.391,19.67016129,80.32983871,148,19.35483871,80.64516129
288,45,926,17,-7,-3,27,-5,-24,6,3593,3565.742,0.758641804,99.2413582,3566,0.751461175,99.24853883
306,47,754,0,-8,-1,38,-12,-16,2,3353,3535.612,5.446227259,94.55377274,3536,5.457798986,94.54220101
201,13,3193,5,-15,-4,51,-31,-21,4,3173,3117.255,1.756854712,98.24314529,3117,1.76489127,98.23510873
