days,fips,tot_cases,new_case,parks_%change,actual cases,predicted cases
199,47,73819,2279,89,815,830.527
78,37,62,22,28,0,0.529
84,1,242,46,4,0,3.444
121,28,7212,643,15,282,268.452
152,37,28590,916,75,886,877.688
237,37,158678,1389,48,2535,2523.31
212,13,186426,4183,18,3671,3683.333
105,12,20984,590,-52,571,619.124
161,51,52177,439,85,1514,1478.983
318,12,858585,6760,-24,17445,17482.303
247,51,124779,1111,59,2662,2656.255
230,1,109004,571,30,1925,1953.918
98,37,3221,351,24,46,63.319
123,28,7441,229,28,291,286.105
120,28,6569,0,-7,250,231.673
121,47,10735,603,0,199,246.916
135,13,33657,326,21,1527,1467.36
330,51,228901,2600,25,4029,4015.571
91,1,999,52,-23,13,19.974
302,1,187706,1269,-15,2911,2907.294
273,1,153554,571,9,2517,2514.386
282,47,209447,1992,69,2705,2698.394
88,21,394,92,100,9,9.344
202,45,71445,1459,47,1164,1252.789
104,28,3087,145,-14,111,90.153
287,28,106817,876,27,3140,3118.922
193,21,19121,451,211,622,633.491
289,13,358533,1864,22,7492,7475.289
233,13,254163,2939,-2,4904,4767.355
120,1,7105,158,-11,260,240.402
172,45,23786,1155,104,644,668.465
238,12,599176,2665,-26,10580,10463.202
96,12,11961,788,-70,221,275.259
282,45,154755,1050,36,3514,3478.059
104,13,13289,1086,-6,481,455.597
267,1,147153,569,14,2488,2476.836
248,1,130393,1108,40,2266,2264.827
239,37,161466,1342,50,2606,2569.659
327,45,206295,1277,6,4283,4272.065
315,21,124646,2079,37,1590,1663.158
248,51,125727,948,85,2677,2696.092
90,1,947,117,10,6,14.361
126,28,8422,215,15,374,340.471
231,21,40299,608,65,830,847.347
273,28,98190,1141,24,2969,2919.653
185,12,175718,9415,-6,3684,3525.333
184,51,63735,532,112,1816,1792.212
171,21,13454,257,147,522,535.659
218,1,94819,972,51,1698,1831.439
169,47,32143,313,98,497,522.804
131,45,7653,122,26,331,327.759
314,13,406904,1648,12,8223,8270.919
234,37,154018,2075,46,2494,2475.426
265,28,94021,465,20,2846,2825.858
333,37,357958,3444,41,5219,5226.307
218,12,497181,5408,-21,7627,7548.673
237,13,264540,2441,7,5156,5108.391
88,45,660,121,12,15,8.415
148,45,10623,207,-4,466,475.586
182,45,36399,1755,48,739,838.866
327,1,232506,1798,15,3457,3466.077
289,28,109255,1116,16,3160,3149.839
139,21,7935,247,3,346,353.989
242,21,47577,820,135,921,932.99
163,37,39483,1310,46,1064,1068.427
282,51,156649,1114,62,3344,3334.312
100,12,16323,1089,-46,371,420.286
237,51,114636,1006,56,2495,2458.014
170,45,21548,992,63,621,658.538
332,1,242874,917,12,3572,3606.375
100,13,10693,613,-10,413,365.565
103,1,3583,321,-50,61,70.086
140,28,11967,263,34,570,523.737
197,13,129193,4102,38,3091,3033.85
