days,fips,tot_cases,new_case,parks_%change,actual cases,predicted cases,%error,%accuracy,predicted rounded,predicted %error,predicted %accuracy
195,13,121518,3790,48,3026,2999.174,0.886516854,99.11348315,2999,0.892267019,99.10773298
97,47,3803,170,3,65,59.221,8.890769231,91.10923077,59,9.230769231,90.76923077
161,45,15228,428,59,568,587.383,3.4125,96.5875,587,3.345070423,96.65492958
314,47,287770,5919,33,3610,3674.75,1.793628809,98.20637119,3675,1.800554017,98.19944598
205,1,74344,2458,31,1399,1559.653,11.48341673,88.51658327,1560,11.50822016,88.49177984
301,51,176754,1345,50,3616,3595.416,0.569247788,99.43075221,3595,0.580752212,99.41924779
265,45,138124,416,44,3212,3143.391,2.136021171,97.86397883,3143,2.148194271,97.85180573
280,51,153691,509,67,3303,3298.203,0.145231608,99.85476839,3298,0.151377536,99.84862246
92,45,1293,210,-26,26,22.629,12.96538462,87.03461538,23,11.53846154,88.46153846
334,28,153270,1485,-34,3807,3754.914,1.368163909,98.63183609,3755,1.365904912,98.63409509
76,12,142,6,0,5,2.685,46.3,53.7,3,40,60
206,45,78607,2001,37,1385,1495.674,7.990902527,92.00909747,1496,8.014440433,91.98555957
219,45,96797,1325,34,1943,1960.374,0.894184251,99.10581575,1960,0.874935666,99.12506433
169,28,20641,0,55,938,928.039,1.061940299,98.9380597,928,1.066098081,98.93390192
105,45,3553,114,-11,97,109.884,13.28247423,86.71752577,110,13.40206186,86.59793814
305,1,192285,1789,47,2967,2978.638,0.392248062,99.60775194,2979,0.404448938,99.59555106
133,12,41923,941,-24,1779,1811.577,1.831197302,98.1688027,1812,1.854974705,98.1450253
329,12,938830,8102,-21,18157,18063.574,0.514545354,99.48545465,18064,0.512199152,99.48780085
304,21,105242,1937,45,1476,1493.25,1.168699187,98.83130081,1493,1.151761518,98.84823848
108,28,3793,0,-6,140,133.011,4.992142857,95.00785714,133,5,95
72,13,88,33,23,1,1.209,20.9,79.1,1,0,100
228,21,38930,632,183,810,808.597,0.173209877,99.82679012,809,0.12345679,99.87654321
332,37,354514,8008,51,5210,5130.455,1.526775432,98.47322457,5130,1.535508637,98.46449136
289,21,84195,1182,41,1296,1398.737,7.927237654,92.07276235,1399,7.947530864,92.05246914
296,45,167485,1128,29,3755,3712.055,1.1436751,98.8563249,3712,1.145139814,98.85486019
251,45,125607,655,90,2907,2760.551,5.037805298,94.9621947,2761,5.022359821,94.97764018
273,13,333811,1368,-21,6994,6975.843,0.259608236,99.74039176,6976,0.257363454,99.74263655
240,45,114598,505,31,2628,2572.39,2.116057839,97.88394216,2572,2.130898021,97.86910198
316,13,413415,2232,-15,8333,8775.115,5.305592224,94.69440778,8775,5.304212168,94.69578783
214,47,108184,2225,108,1067,1077.636,0.996813496,99.0031865,1078,1.030927835,98.96907216
297,1,180916,3852,20,2859,2843.788,0.532074152,99.46792585,2844,0.524658972,99.47534103
185,47,48712,1822,157,633,682.66,7.845181675,92.15481833,683,7.898894155,92.10110585
116,28,5718,284,3,221,207.911,5.922624434,94.07737557,208,5.882352941,94.11764706
126,51,20256,764,5,713,704.195,1.234922861,98.76507714,704,1.26227209,98.73772791
93,13,5443,637,-15,176,92.904,47.21363636,52.78636364,93,47.15909091,52.84090909
268,47,187544,835,14,2310,2515.364,8.89021645,91.10978355,2515,8.874458874,91.12554113
142,1,13647,347,40,534,561.24,5.101123596,94.8988764,561,5.056179775,94.94382022
270,47,190891,1437,111,2374,2407.377,1.405939343,98.59406066,2407,1.390058972,98.60994103
